Name,Source,Condition,Condition augmented,proc_num#category,Ag,Al,B,Be,Bi,Cd,Co,Cr,Cu,Er,Eu,Fe,Ga,Li,Mg,Mn,Ni,Sc,Si,Sn,Ti,V,Zn,Zr
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5454, H12",all_alloys.csv,H12,H12,3,0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0.001251564,0,0.001001252,0,0.001251564,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5154, H12",all_alloys.csv,H12,H12,3,0,0.95623906,0,0,0,0,0,0.002500625,0.000500125,0,0,0.0020005,0,0,0.035008752,0.000500125,0,0,0.001250313,0,0.00100025,0,0.00100025,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5182, H32",all_alloys.csv,H12,H12,3,0,0.945709282,0,0,0,0,0,0.000500375,0.000750563,0,0,0.001751313,0,0,0.045033775,0.003502627,0,0,0.001000751,0,0.000500375,0,0.001250938,0
Al-4.1%Mg -0.6%Li,Al-Mg-Li,H131,H131,3,0,0.953,0,0,0,0,0,0,0,0,0,0,0,0.006,0.041,0,0,0,0,0,0,0,0,0
Al-4.1%Mg -1.1%Li,Al-Mg-Li,H131,H131,3,0,0.948,0,0,0,0,0,0,0,0,0,0,0,0.011,0.041,0,0,0,0,0,0,0,0,0
Al-4.1%Mg -1.7%Li,Al-Mg-Li,H131,H131,3,0,0.942,0,0,0,0,0,0,0,0,0,0,0,0.017,0.041,0,0,0,0,0,0,0,0,0
1100,Introduction,H14,H14,4,0,0.9988,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, commercial purity, 1200, H14",all_alloys.csv,H14,H14,4,0,0.998749062,0,0,0,0,0,0,0.000250188,0,0,0,0,0,0,0.000250188,0,0,0,0,0.000250188,0,0.000500375,0
1060,Aluminium Vol1,H14,H14,4,0,0.996,0,0,0,0,0,0,0,0,0,0.003,0,0,0,0,0,0,0.001,0,0,0,0,0
1100,Aluminium Vol1,H14,H14,4,0,0.992,0,0,0,0,0,0,0.0002,0,0,0.0002,0,0,0,0.0002,0,0,0.007,0,0.0002,0,0.0002,0
5005,Introduction,H14,H14,4,0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0
5005,Aluminium Vol1,H14,H14,4,0,0.992,0,0,0,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0
3105,Introduction,H14,H14,4,0,0.989,0,0,0,0,0,0,0,0,0,0,0,0,0.005,0.006,0,0,0,0,0,0,0,0
3003,Aluminium Vol1,H14,H14,4,0,0.988,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0
3003,Introduction,H14,H14,4,0,0.9868,0,0,0,0,0,0,0.0012,0,0,0,0,0,0,0.012,0,0,0,0,0,0,0,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5005, H14",all_alloys.csv,H14,H14,4,0,0.983237428,0,0,0,0,0,0.000500375,0.001000751,0,0,0.003502627,0,0,0.008006005,0.001000751,0,0,0.001501126,0,0,0,0.001250938,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 3103, H14",all_alloys.csv,H14,H14,4,0,0.978478478,0,0,0,0,0,0.000500501,0.000500501,0,0,0.003503504,0,0,0.001501502,0.012012012,0,0,0.002502503,0,0,0,0.001001001,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 3105, H14",all_alloys.csv,H14,H14,4,0,0.977988994,0,0,0,0,0,0.0010005,0.00150075,0,0,0.003501751,0,0,0.005002501,0.005502751,0,0,0.003001501,0,0.00050025,0,0.002001001,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5251, H14",all_alloys.csv,H14,H14,4,0,0.968968969,0,0,0,0,0,0.000750751,0.000750751,0,0,0.002502503,0,0,0.020520521,0.003003003,0,0,0.002002002,0,0.000750751,0,0.000750751,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5754, H14",all_alloys.csv,H14,H14,4,0,0.958719039,0,0,0,0,0,0.001501126,0.000500375,0,0,0.002001501,0,0,0.031023267,0.002501876,0,0,0.002001501,0,0.000750563,0,0.001000751,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5454, H14",all_alloys.csv,H14,H14,4,0,0.958197747,0,0,0,0,0,0.001251564,0.000500626,0,0,0.002002503,0,0,0.027033792,0.007509387,0,0,0.001251564,0,0.001001252,0,0.001251564,0
"Wrought_Aluminium_Alloys_Data_utf-8,Aluminum, 5154, H14",all_alloys.csv,H14,H14,4,0,0.95623906,0,0,0,0,0,0.002500625,0.000500125,0,0,0.0020005,0,0,0.035008752,0.000500125,0,0,0.001250313,0,0.00100025,0,0.00100025,0
